city,state,shape,duration,date_time,lon,lat
Sarasota,FL,other,15 minutes,2020-01-20T18:35:00,-82.49044025679758,27.31073444108761
Victoria,BC,other,less than 2 hours,2020-01-24T19:30:00,-123.38397199327164,48.45668561816653
Jupiter,FL,circle,15 minutes,2020-01-27T20:00:00,-80.13581534246576,26.940044657534244
Hartland,ME,sphere,Seconds,2020-01-30T21:00:00,-69.5287,44.8911
Santa Fe,NM,light,20 minutes,2020-02-06T18:00:00,-105.95390714285716,35.661082683982684
Independence,MO,cigar,30 seconds,2020-02-06T19:45:00,-94.38608574879228,39.07880845410628
Muskogee,OK,cigar,5 minutes,2020-02-07T13:00:00,-95.35847407407408,35.68955111111111
Oreana,IL,disk,1 minute,2020-02-10T10:00:00,-88.8669,39.9513
Fredericksburg,VA,light,~3 minutes,2020-02-14T06:34:00,-77.48740445151034,38.28988855325914
Tallahassee,FL,oval,3 seconds,2020-02-15T04:00:00,-84.25529034572733,30.47439334637965
Duluth,MN,disk,10 minutes,2020-02-16T22:00:00,-92.1297889546351,46.81722209072978
Akron,OH,light,3 minutes+,2020-02-17T05:25:00,-81.55790462427746,41.09643776493257
Terre Haute,IN,triangle,3min,2020-02-22T08:30:00,-87.3756556122449,39.429084183673474
Hollister,CA,circle,Unknown,2020-02-23T00:00:00,-121.2434,36.8952
Hillsborough,NC,circle,3 minutes,2020-02-23T13:14:00,-79.0741,36.0755
Tampa,FL,changing,10 seconds,2020-02-26T00:30:00,-82.47646101351351,28.006814358108112
Compton,CA,circle,14 minutes,2020-02-28T02:00:00,-118.2290115942029,33.882542028985505
Painted Post,NY,sphere,30 seconds,2020-02-28T15:00:00,-77.1269,42.1753
Woodburn,OR,triangle,???,2020-02-28T18:00:00,-122.8224,45.1369
Tampa,FL,cigar,3 hours,2020-03-01T11:00:00,-82.47646101351351,28.006814358108112
Killeen,TX,other,20 minutes,2020-03-02T01:15:00,-97.78439354838709,31.058507038123167
Georgetown,KY,disk,2 minutes,2020-03-02T22:30:00,-84.5524,38.2532
Lawrenceburg,KY,circle,15 minutes,2020-03-04T00:00:00,-84.983,38.0052
Cape May,NJ,light,1 hour,2020-03-04T21:00:00,-74.9025,38.9834
Jupiter,FL,light,Less than a minute,2019-12-15T05:40:00,-80.13581534246576,26.940044657534244
Oregon City,OR,circle,6 hours,2019-11-03T10:00:00,-122.6068,45.3573
Woodland Park,CO,formation,5 minutes,2020-03-05T19:55:00,-105.1184,38.9967
El Cajon,CA,other,Seconds,2020-03-06T13:00:00,-116.91756842105264,32.80505052631579
Hobart,OK,formation,30 minutes,2020-03-10T22:00:00,-99.0607,34.9864
Lyons,OR,circle,2 hours,2020-03-12T01:00:00,-122.6151,44.7746
Boston,MA,changing,3 minutes,2020-03-12T12:45:00,-71.06563371161549,42.3416629506008
